title,abstract,authors,year,venue,fields,domain
"Blockchain for healthcare data management: opportunities, challenges, and future recommendations",,"Ibrar Yaqoob, K. Salah, Raja Jayaraman, Yousof Al-Hammadi",2021.0,Neural computing & applications (Print),"Computer Science, Business",Healthcare
Federated Learning for Smart Healthcare: A Survey,"Recent advances in communication technologies and the Internet-of-Medical-Things (IOMT) have transformed smart healthcare enabled by artificial intelligence (AI). Traditionally, AI techniques require centralized data collection and processing that may be infeasible in realistic healthcare scenarios due to the high scalability of modern healthcare networks and growing data privacy concerns. Federated Learning (FL), as an emerging distributed collaborative AI paradigm, is particularly attractive for smart healthcare, by coordinating multiple clients (e.g., hospitals) to perform AI training without sharing raw data. Accordingly, we provide a comprehensive survey on the use of FL in smart healthcare. First, we present the recent advances in FL, the motivations, and the requirements of using FL in smart healthcare. The recent FL designs for smart healthcare are then discussed, ranging from resource-aware FL, secure and privacy-aware FL to incentive FL and personalized FL. Subsequently, we provide a state-of-the-art review on the emerging applications of FL in key healthcare domains, including health data management, remote health monitoring, medical imaging, and COVID-19 detection. Several recent FL-based smart healthcare projects are analyzed, and the key lessons learned from the survey are also highlighted. Finally, we discuss interesting research challenges and possible directions for future FL research in smart healthcare.","Dinh C. Nguyen, Viet Quoc Pham, P. Pathirana, Ming Ding, A. Seneviratne, Zihuai Lin, O. Dobre, W. Hwang",2021.0,ACM Computing Surveys,"Computer Science, Engineering",Healthcare
Experiences of frontline healthcare workers and their views about support during COVID-19 and previous pandemics: a systematic review and qualitative meta-synthesis,,"Jo Billings, B. C. Ching, Vasiliki Gkofa, T. Greene, M. Bloomfield",2021.0,BMC Health Services Research,Medicine,Healthcare
Advances in healthcare wearable devices,,"S. M. A. Iqbal, Imadeldin Mahgoub, E. Du, Mary Ann Leavitt, W. Asghar",2021.0,npj Flexible Electronics,,Healthcare
IoT for Smart Cities: Machine Learning Approaches in Smart Healthcare - A Review,"Smart city is a collective term for technologies and concepts that are directed toward making cities efficient, technologically more advanced, greener and more socially inclusive. These concepts include technical, economic and social innovations. This term has been tossed around by various actors in politics, business, administration and urban planning since the 2000s to establish tech-based changes and innovations in urban areas. The idea of the smart city is used in conjunction with the utilization of digital technologies and at the same time represents a reaction to the economic, social and political challenges that post-industrial societies are confronted with at the start of the new millennium. The key focus is on dealing with challenges faced by urban society, such as environmental pollution, demographic change, population growth, healthcare, the financial crisis or scarcity of resources. In a broader sense, the term also includes non-technical innovations that make urban life more sustainable. So far, the idea of using IoT-based sensor networks for healthcare applications is a promising one with the potential of minimizing inefficiencies in the existing infrastructure. A machine learning approach is key to successful implementation of the IoT-powered wireless sensor networks for this purpose since there is large amount of data to be handled intelligently. Throughout this paper, it will be discussed in detail how AI-powered IoT and WSNs are applied in the healthcare sector. This research will be a baseline study for understanding the role of the IoT in smart cities, in particular in the healthcare sector, for future research works.","Taher M. Ghazal, M Zahid Hasan, M. Alshurideh, Haitham M. Alzoubi, Munir Ahmad, Syed Shehryar Akbar, B. Kurdi, Iman A. Akour",2021.0,Future Internet,Computer Science,Healthcare
"Antimicrobial-Resistant Pathogens Associated With Healthcare-Associated Infections: Summary of Data Reported to the National Healthcare Safety Network at the Centers for Disease Control and Prevention, 2011–2014","OBJECTIVE To describe antimicrobial resistance patterns for healthcare-associated infections (HAIs) that occurred in 2011–2014 and were reported to the Centers for Disease Control and Prevention’s National Healthcare Safety Network. METHODS Data from central line–associated bloodstream infections, catheter-associated urinary tract infections, ventilator-associated pneumonias, and surgical site infections were analyzed. These HAIs were reported from acute care hospitals, long-term acute care hospitals, and inpatient rehabilitation facilities. Pooled mean proportions of pathogens that tested resistant (or nonsusceptible) to selected antimicrobials were calculated by year and HAI type. RESULTS Overall, 4,515 hospitals reported that at least 1 HAI occurred in 2011–2014. There were 408,151 pathogens from 365,490 HAIs reported to the National Healthcare Safety Network, most of which were reported from acute care hospitals with greater than 200 beds. Fifteen pathogen groups accounted for 87% of reported pathogens; the most common included Escherichia coli (15%), Staphylococcus aureus (12%), Klebsiella species (8%), and coagulase-negative staphylococci (8%). In general, the proportion of isolates with common resistance phenotypes was higher among device-associated HAIs compared with surgical site infections. Although the percent resistance for most phenotypes was similar to earlier reports, an increase in the magnitude of the resistance percentages among E. coli pathogens was noted, especially related to fluoroquinolone resistance. CONCLUSION This report represents a national summary of antimicrobial resistance among select HAIs and phenotypes. The distribution of frequent pathogens and some resistance patterns appear to have changed from 2009–2010, highlighting the need for continual, careful monitoring of these data across the spectrum of HAI types. Infect Control Hosp Epidemiol 2016;1–14","Lindsey M. Weiner, Amy K. Webb, B. Limbago, Margaret A. Dudeck, J. Patel, A. Kallen, J. Edwards, D. Sievert",2016.0,Infection Control &#x0026; Hospital Epidemiology,Medicine,Healthcare
Explainable Artificial Intelligence for Predictive Modeling in Healthcare,,Christopher C. Yang,2022.0,Journal of Healthcare Informatics Research,"Computer Science, Medicine",Healthcare
Medicines And Healthcare Products Regulatory Agency,,,2020.0,Definitions,,Healthcare
"Internet of Things (IoT): A Review of Its Enabling Technologies in Healthcare Applications, Standards Protocols, Security, and Market Opportunities","The Internet of Things (IoT) is a methodology or a system that encompasses real-world things to interact and communicate with each other with the assistance of networking technologies. This article describes surveys on advances in IoT-based healthcare methods and reviews the state-of-the-art technologies in detail. Moreover, this review classifies an existing IoT-based healthcare network and represents a summary of all perspective networks. IoT healthcare protocols are analyzed in this context and provide a broad discussion on it. It also initiates a comprehensive survey on IoT healthcare applications and services. Extensive insights into IoT healthcare security, its requirements, challenges, and privacy issues are visualized in IoT surrounding healthcare. In this review, we analyze security and privacy features consisting of data protection, network architecture, Quality of Services (QoS), app development, and continuous monitoring of healthcare that are facing difficulties in many IoT-based healthcare architectures. To mitigate the security problems, an IoT-based security architectural model has been proposed in this review. Furthermore, this review discloses the market opportunity that will enhance the IoT healthcare market development. To conduct the survey, we searched through established journal and conference databases using specific keywords to find scholarly works. We applied a filtering mechanism to collect only papers that were relevant to our research works. The selected papers were then examined carefully to understand their contributions/research focus. Eventually, the paper reviews were analyzed to identify any existing research gaps and untouched areas of research and to discover possible features for sustainable IoT healthcare development.","Mohammad Nuruzzaman Bhuiyan, Md. Mahbubur Rahman, M. Billah, Dipanita Saha",2021.0,IEEE Internet of Things Journal,Computer Science,Healthcare
Blockchain Technology in Healthcare: A Systematic Review,"Since blockchain was introduced through Bitcoin, research has been ongoing to extend its applications to non-financial use cases. Healthcare is one industry in which blockchain is expected to have significant impacts. Research in this area is relatively new but growing rapidly; so, health informatics researchers and practitioners are always struggling to keep pace with research progress in this area. This paper reports on a systematic review of the ongoing research in the application of blockchain technology in healthcare. The research methodology is based on the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) guidelines and a systematic mapping study process, in which a well-designed search protocol is used to search four scientific databases, to identify, extract and analyze all relevant publications. The review shows that a number of studies have proposed different use cases for the application of blockchain in healthcare; however, there is a lack of adequate prototype implementations and studies to characterize the effectiveness of these proposed use cases. The review further highlights the state-of-the-art in the development of blockchain applications for healthcare, their limitations and the areas for future research. To this end, therefore, there is still the need for more research to better understand, characterize and evaluate the utility of blockchain in healthcare.","C. C. Agbo, Q. Mahmoud, J. M. Eklund",2019.0,Healthcare,"Computer Science, Medicine",Healthcare
IoT-Based Applications in Healthcare Devices,"The last decade has witnessed extensive research in the field of healthcare services and their technological upgradation. To be more specific, the Internet of Things (IoT) has shown potential application in connecting various medical devices, sensors, and healthcare professionals to provide quality medical services in a remote location. This has improved patient safety, reduced healthcare costs, enhanced the accessibility of healthcare services, and increased operational efficiency in the healthcare industry. The current study gives an up-to-date summary of the potential healthcare applications of IoT- (HIoT-) based technologies. Herein, the advancement of the application of the HIoT has been reported from the perspective of enabling technologies, healthcare services, and applications in solving various healthcare issues. Moreover, potential challenges and issues in the HIoT system are also discussed. In sum, the current study provides a comprehensive source of information regarding the different fields of application of HIoT intending to help future researchers, who have the interest to work and make advancements in the field to gain insight into the topic.","Bikash K. Pradhan, S. Bhattacharyya, K. Pal",2021.0,Journal of Healthcare Engineering,Medicine,Healthcare
"Telemedicine for healthcare: Capabilities, features, barriers, and applications",,"A. Haleem, M. Javaid, R. Singh, R. Suman",2021.0,Sensors International,"Medicine, Computer Science",Healthcare
A Comprehensive Survey on Machine Learning-Based Big Data Analytics for IoT-Enabled Smart Healthcare System,,"Wei Li, Yuanbo Chai, Fazlullah Khan, Syed Roohullah Jan, Sahil Verma, Varun G. Menon, Kavita, Xingwang Li",2021.0,Journal on spesial topics in mobile networks and applications,Medicine,Healthcare
Physical and mental health impacts of COVID-19 on healthcare workers: a scoping review,,"N. Shaukat, D. M. Ali, J. Razzak",2020.0,International Journal of Emergency Medicine,Medicine,Healthcare
Big data analytics in healthcare: promise and potential,,"W. Raghupathi, V. Raghupathi",2014.0,Health Information Science and Systems,"Medicine, Computer Science",Healthcare
Digital Twin for Intelligent Context-Aware IoT Healthcare Systems,"Since the emergence of digital and smart healthcare, the world has hastened to apply various technologies in this field to promote better health operation and patients’ well being, increase life expectancy, and reduce healthcare costs. One promising technology and game changer in this domain is digital twin (DT). DT is expected to change the concept of digital healthcare and take this field to another level that has never been seen before. DT is a virtual replica of a physical asset that reflects the current status through real-time transformed data. This article proposes and implements an intelligent context-aware healthcare system using the DT framework. This framework is a beneficial contribution to digital healthcare and to improve healthcare operations. Accordingly, an electrocardiogram (ECG) heart rhythms classifier model was built using machine learning to diagnose heart disease and detect heart problems. The implemented models successfully predicted a particular heart condition with high accuracy in different algorithms. The collected results have shown that integrating DT with the healthcare field would improve healthcare processes by bringing patients and healthcare professionals together in an intelligent, comprehensive, and scalable health ecosystem. Also, implementing an ECG classifier that detects heart conditions gives the inspiration for applying ML and artificial intelligence with different human body metrics for continuous monitoring and abnormalities detection. Finally, neural-network-based algorithms deal better with ECG data than traditional ML algorithms.","Haya Elayan, Moayad Aloqaily, M. Guizani",2021.0,IEEE Internet of Things Journal,Computer Science,Healthcare
Barriers and facilitators to healthcare workers' adherence with infection prevention and control (IPC) guidelines for respiratory infectious diseases: a rapid qualitative evidence synthesis.,"BACKGROUND
This review is one of a series of rapid reviews that Cochrane contributors have prepared to inform the 2020 COVID-19 pandemic. When new respiratory infectious diseases become widespread, such as during the COVID-19 pandemic, healthcare workers' adherence to infection prevention and control (IPC) guidelines becomes even more important. Strategies in these guidelines include the use of personal protective equipment (PPE) such as masks, face shields, gloves and gowns; the separation of patients with respiratory infections from others; and stricter cleaning routines. These strategies can be difficult and time-consuming to adhere to in practice. Authorities and healthcare facilities therefore need to consider how best to support healthcare workers to implement them.


OBJECTIVES
To identify barriers and facilitators to healthcare workers' adherence to IPC guidelines for respiratory infectious diseases.


SEARCH METHODS
We searched OVID MEDLINE on 26 March 2020. As we searched only one database due to time constraints, we also undertook a rigorous and comprehensive scoping exercise and search of the reference lists of key papers. We did not apply any date limit or language limits.


SELECTION CRITERIA
We included qualitative and mixed-methods studies (with a distinct qualitative component) that focused on the experiences and perceptions of healthcare workers towards factors that impact on their ability to adhere to IPC guidelines for respiratory infectious diseases. We included studies of any type of healthcare worker with responsibility for patient care. We included studies that focused on IPC guidelines (local, national or international) for respiratory infectious diseases in any healthcare setting. These selection criteria were framed by an understanding of the needs of health workers during the COVID-19 pandemic.


DATA COLLECTION AND ANALYSIS
Four review authors independently assessed the titles, abstracts and full texts identified by our search. We used a prespecified sampling frame to sample from the eligible studies, aiming to capture a range of respiratory infectious disease types, geographical spread and data-rich studies. We extracted data using a data extraction form designed for this synthesis. We assessed methodological limitations using an adapted version of the Critical Skills Appraisal Programme (CASP) tool. We used a 'best fit framework approach' to analyse and synthesise the evidence. This provided upfront analytical categories, with scope for further thematic analysis. We used the GRADE-CERQual (Confidence in the Evidence from Reviews of Qualitative research) approach to assess our confidence in each finding. We examined each review finding to identify factors that may influence intervention implementation and developed implications for practice.


MAIN RESULTS
We found 36 relevant studies and sampled 20 of these studies for our analysis. Ten of these studies were from Asia, four from Africa, four from Central and North America and two from Australia. The studies explored the views and experiences of nurses, doctors and other healthcare workers when dealing with severe acute respiratory syndrome (SARS), H1N1, MERS (Middle East respiratory syndrome), tuberculosis (TB), or seasonal influenza. Most of these healthcare workers worked in hospitals; others worked in primary and community care settings. Our review points to several barriers and facilitators that influenced healthcare workers' ability to adhere to IPC guidelines. The following factors are based on findings assessed as of moderate to high confidence. Healthcare workers felt unsure as to how to adhere to local guidelines when they were long and ambiguous or did not reflect national or international guidelines. They could feel overwhelmed because local guidelines were constantly changing. They also described how IPC strategies led to increased workloads and fatigue, for instance because they had to use PPE and take on additional cleaning. Healthcare workers described how their responses to IPC guidelines were influenced by the level of support they felt that they received from their management team. Clear communication about IPC guidelines was seen as vital. But healthcare workers pointed to a lack of training about the infection itself and about how to use PPE. They also thought it was a problem when training was not mandatory. Sufficient space to isolate patients was also seen as vital. A lack of isolation rooms, anterooms and shower facilities was a problem. Other important practical measures described by healthcare workers included minimising overcrowding, fast-tracking infected patients, restricting visitors, and providing easy access to handwashing facilities. A lack of PPE, and equipment that was of poor quality, was a serious concern for healthcare workers and managers. They also pointed to the need to adjust the volume of supplies as infection outbreaks continued. Healthcare workers believed that they followed IPC guidance more closely when they saw the value of it. Some healthcare workers felt motivated to follow the guidance because of fear of infecting themselves or their families, or because they felt responsible for their patients. Some healthcare workers found it difficult to use masks and other equipment when it made patients feel isolated, frightened or stigmatised. Healthcare workers also found masks and other equipment uncomfortable to use. The workplace culture could also influence whether healthcare workers followed IPC guidelines or not. Across many of the findings, healthcare workers pointed to the importance of including all staff, including cleaning staff, porters, kitchen staff and other support staff when implementing IPC guidelines.


AUTHORS' CONCLUSIONS
Healthcare workers point to several factors that influence their ability and willingness to follow IPC guidelines when managing respiratory infectious diseases. These include factors tied to the guideline itself and how it is communicated, support from managers, workplace culture, training, physical space, access to and trust in personal protective equipment, and a desire to deliver good patient care. The review also highlights the importance of including all facility staff, including support staff, when implementing IPC guidelines.","C. Houghton, P. Meskell, Hannah Delaney, M. Smalle, C. Glenton, A. Booth, X. H. Chan, D. Devane, L. Biesty",2020.0,Cochrane Database of Systematic Reviews,Medicine,Healthcare
Digital transformation in healthcare: Analyzing the current state-of-research,,"S. Kraus, Francesco Schiavone, Anna Pluzhnikova, Anna C. Invernizzi",2021.0,Journal of business research,Business,Healthcare
Healthcare Data Breaches: Insights and Implications,"The Internet of Medical Things, Smart Devices, Information Systems, and Cloud Services have led to a digital transformation of the healthcare industry. Digital healthcare services have paved the way for easier and more accessible treatment, thus making our lives far more comfortable. However, the present day healthcare industry has also become the main victim of external as well as internal attacks. Data breaches are not just a concern and complication for security experts; they also affect clients, stakeholders, organizations, and businesses. Though the data breaches are of different types, their impact is almost always the same. This study provides insights into the various categories of data breaches faced by different organizations. The main objective is to do an in-depth analysis of healthcare data breaches and draw inferences from them, thereby using the findings to improve healthcare data confidentiality. The study found that hacking/IT incidents are the most prevalent forms of attack behind healthcare data breaches, followed by unauthorized internal disclosures. The frequency of healthcare data breaches, magnitude of exposed records, and financial losses due to breached records are increasing rapidly. Data from the healthcare industry is regarded as being highly valuable. This has become a major lure for the misappropriation and pilferage of healthcare data. Addressing this anomaly, the present study employs the simple moving average method and the simple exponential soothing method of time series analysis to examine the trend of healthcare data breaches and their cost. Of the two methods, the simple moving average method provided more reliable forecasting results.","Adil Hussain Seh, M. Zarour, M. Alenezi, A. K. Sarkar, A. Agrawal, Rajeev Kumar, Raees Ahmad Khan",2020.0,Healthcare,"Medicine, Business",Healthcare
Psychological impact of the COVID-19 pandemic on healthcare workers: a cross-sectional study in China,"Background Healthcare workers fighting against the coronavirus disease 2019 (COVID-19) pandemic are under tremendous pressure, which puts them at an increased risk of developing psychological problems. Aims This study aimed to investigate the prevalence of psychological problems in different healthcare workers (ie, physicians, medical residents, nurses, technicians and public health professionals) during the COVID-19 pandemic in China and explore factors that are associated with the onset of psychological problems in this population during this public health crisis. Methods A cross-sectional, web-based survey was conducted in February 2020 among healthcare workers during the COVID-19 pandemic. Psychological problems were assessed using the Generalized Anxiety Disorder Scale, Patient Health Questionnaire and Insomnia Severity Index. Logistic regression analyses were used to explore the factors that were associated with psychological problems. Results The prevalence of symptoms of anxiety, depression, insomnia and the overall psychological problems in healthcare workers during the COVID-19 pandemic in China was 46.04%, 44.37%, 28.75% and 56.59%, respectively. The prevalence of the overall psychological problems in physicians, medical residents, nurses, technicians and public health professionals was 60.35%, 50.82%, 62.02%, 57.54% and 62.40%, respectively. Compared with healthcare workers who did not participate in front-line work, front-line healthcare workers had a higher risk of anxiety, insomnia and overall psychological problems. In addition, attention to negative or neutral information about the pandemic, receiving negative feedback from families and friends who joined front-line work, and unwillingness to join front-line work if given a free choice were three major factors for these psychological problems. Conclusions Psychological problems are pervasive among healthcare workers during the COVID-19 pandemic. Receiving negative information and participating in front-line work appear to be important risk factors for psychological problems. The psychological health of different healthcare workers should be protected during the COVID-19 pandemic with timely interventions and proper information feedback.","Jianyu Que, Le Shi, J. Deng, Jiajia Liu, Li Zhang, Su-ying Wu, Yimiao Gong, Weizhen Huang, K. Yuan, Wei Yan, Yankun Sun, M. Ran, Y. Bao, Lin Lu",2020.0,General Psychiatry,Medicine,Healthcare
"Transformative Potential of AI in Healthcare: Definitions, Applications, and Navigating the Ethical Landscape and Public Perspectives","Artificial intelligence (AI) has emerged as a crucial tool in healthcare with the primary aim of improving patient outcomes and optimizing healthcare delivery. By harnessing machine learning algorithms, natural language processing, and computer vision, AI enables the analysis of complex medical data. The integration of AI into healthcare systems aims to support clinicians, personalize patient care, and enhance population health, all while addressing the challenges posed by rising costs and limited resources. As a subdivision of computer science, AI focuses on the development of advanced algorithms capable of performing complex tasks that were once reliant on human intelligence. The ultimate goal is to achieve human-level performance with improved efficiency and accuracy in problem-solving and task execution, thereby reducing the need for human intervention. Various industries, including engineering, media/entertainment, finance, and education, have already reaped significant benefits by incorporating AI systems into their operations. Notably, the healthcare sector has witnessed rapid growth in the utilization of AI technology. Nevertheless, there remains untapped potential for AI to truly revolutionize the industry. It is important to note that despite concerns about job displacement, AI in healthcare should not be viewed as a threat to human workers. Instead, AI systems are designed to augment and support healthcare professionals, freeing up their time to focus on more complex and critical tasks. By automating routine and repetitive tasks, AI can alleviate the burden on healthcare professionals, allowing them to dedicate more attention to patient care and meaningful interactions. However, legal and ethical challenges must be addressed when embracing AI technology in medicine, alongside comprehensive public education to ensure widespread acceptance.","Molly Bekbolatova, Jonathan Mayer, Chiwei Ong, Milan Toma",2024.0,Healthcare,Medicine,Healthcare
"Utilization of Artificial Intelligence in Disease Prevention: Diagnosis, Treatment, and Implications for the Healthcare Workforce","Artificial intelligence (AI) has been described as one of the extremely effective and promising scientific tools available to mankind. AI and its associated innovations are becoming more popular in industry and culture, and they are starting to show up in healthcare. Numerous facets of healthcare, as well as regulatory procedures within providers, payers, and pharmaceutical companies, may be transformed by these innovations. As a result, the purpose of this review is to identify the potential machine learning applications in the field of infectious diseases and the general healthcare system. The literature on this topic was extracted from various databases, such as Google, Google Scholar, Pubmed, Scopus, and Web of Science. The articles having important information were selected for this review. The most challenging task for AI in such healthcare sectors is to sustain its adoption in daily clinical practice, regardless of whether the programs are scalable enough to be useful. Based on the summarized data, it has been concluded that AI can assist healthcare staff in expanding their knowledge, allowing them to spend more time providing direct patient care and reducing weariness. Overall, we might conclude that the future of “conventional medicine” is closer than we realize, with patients seeing a computer first and subsequently a doctor.","S. Wani, N. Khan, Gaurav Thakur, S. Gautam, Mohammad Ali, P. Alam, S. Alshehri, M. Ghoneim, F. Shakeel",2022.0,Healthcare,Medicine,Healthcare
Explainability for artificial intelligence in healthcare: a multidisciplinary perspective,,"J. Amann, A. Blasimme, E. Vayena, D. Frey, V. Madai",2020.0,BMC Medical Informatics and Decision Making,"Psychology, Medicine, Computer Science",Healthcare
A Survey of Robots in Healthcare,"In recent years, with the current advancements in Robotics and Artificial Intelligence (AI), robots have the potential to support the field of healthcare. Robotic systems are often introduced in the care of the elderly, children, and persons with disabilities, in hospitals, in rehabilitation and walking assistance, and other healthcare situations. In this survey paper, the recent advances in robotic technology applied in the healthcare domain are discussed. The paper provides detailed information about state-of-the-art research in care, hospital, assistive, rehabilitation, and walking assisting robots. The paper also discusses the open challenges healthcare robots face to be integrated into our society.","Maria Kyrarini, Fotios Lygerakis, Akilesh Rajavenkatanarayanan, Christos Sevastopoulos, Harish Ram Nambiappan, K. Chaitanya, Ashwin Ramesh Babu, Joanne Mathew, F. Makedon",2021.0,Technologies,Computer Science,Healthcare
The Psychological Impact of Epidemic and Pandemic Outbreaks on Healthcare Workers: Rapid Review of the Evidence,,"E. Preti, V. D. Di Mattei, G. Perego, Federica Ferrari, M. Mazzetti, P. Taranto, Rossella Di Pierro, F. Madeddu, R. Calati",2020.0,Current Psychiatry Reports,Medicine,Healthcare
Blockchain-based electronic healthcare record system for healthcare 4.0 applications,,"Sudeep Tanwar, Karan Parekh, Richard Evans",2020.0,Journal of Information Security and Applications,Computer Science,Healthcare
Mitigating the Psychological Impact of COVID-19 on Healthcare Workers: A Digital Learning Package,"The coronavirus pandemic (COVID-19) will undoubtedly have psychological impacts for healthcare workers, which could be sustained; frontline workers will be particularly at risk. Actions are needed to mitigate the impacts of COVID-19 on mental health by protecting and promoting the psychological wellbeing of healthcare workers during and after the outbreak. We developed and evaluated a digital learning package using Agile methodology within the first three weeks of UK outbreak. This e-package includes evidence-based guidance, support and signposting relating to psychological wellbeing for all UK healthcare employees. A three-step rapid development process included public involvement activities (PPIs) (STEP 1), content and technical development with iterative peer review (STEP 2), and delivery and evaluation (STEP 3). The package outlines the actions that team leaders can take to provide psychologically safe spaces for staff, together with guidance on communication and reducing social stigma, peer and family support, signposting others through psychological first aid (PFA), self-care strategies (e.g., rest, work breaks, sleep, shift work, fatigue, healthy lifestyle behaviours), and managing emotions (e.g., moral injury, coping, guilt, grief, fear, anxiety, depression, preventing burnout and psychological trauma). The e-package includes advice from experts in mental wellbeing as well as those with direct pandemic experiences from the frontline, as well as signposting to public mental health guidance. Rapid delivery in STEP 3 was achieved via direct emails through professional networks and social media. Evaluation included assessment of fidelity and implementation qualities. Essential content was identified through PPIs (n = 97) and peer review (n = 10) in STEPS 1 and 2. The most important messages to convey were deemed to be normalisation of psychological responses during a crisis, and encouragement of self-care and help-seeking behaviour. Within 7 days of completion, the package had been accessed 17,633 times, and healthcare providers had confirmed immediate adoption within their health and wellbeing provisions. Evaluation (STEP 3, n = 55) indicated high user satisfaction with content, usability and utility. Assessment of implementation qualities indicated that the package was perceived to be usable, practical, low cost and low burden. Our digital support package on ‘psychological wellbeing for healthcare workers’ is free to use, has been positively evaluated and was highly accessed within one week of release. It is available here: Supplementary Materials. This package was deemed to be appropriate, meaningful and useful for the needs of UK healthcare workers. We recommend provision of this e-package to healthcare workers alongside wider strategies to support their psychological wellbeing during and after the COVID-19 pandemic.","H. Blake, Fiona Bermingham, G. Johnson, A. Tabner",2020.0,International Journal of Environmental Research and Public Health,Medicine,Healthcare
Flexible and Stretchable Physical Sensor Integrated Platforms for Wearable Human‐Activity Monitoringand Personal Healthcare,"Flexible and stretchable physical sensors that can measure and quantify electrical signals generated by human activities are attracting a great deal of attention as they have unique characteristics, such as ultrathinness, low modulus, light weight, high flexibility, and stretchability. These flexible and stretchable physical sensors conformally attached on the surface of organs or skin can provide a new opportunity for human‐activity monitoring and personal healthcare. Consequently, in recent years there has been considerable research effort devoted to the development of flexible and stretchable physical sensors to fulfill the requirements of future technology, and much progress has been achieved. Here, the most recent developments of flexible and stretchable physical sensors are described, including temperature, pressure, and strain sensors, and flexible and stretchable sensor‐integrated platforms. The latest successful examples of flexible and stretchable physical sensors for the detection of temperature, pressure, and strain, as well as their novel structures, technological innovations, and challenges, are reviewed first. In the next section, recent progress regarding sensor‐integrated wearable platforms is overviewed in detail. Some of the latest achievements regarding self‐powered sensor‐integrated wearable platform technologies are also reviewed. Further research direction and challenges are also proposed to develop a fully sensor‐integrated wearable platform for monitoring human activity and personal healthcare in the near future.","T. Trung, N. Lee",2016.0,Advances in Materials,"Materials Science, Medicine",Healthcare
Digital healthcare: the future,"ABSTRACT Digital healthcare offers a huge range of possibilities and may improve the quality of patient care. The traditional paradigm of clinical history, examination, differential diagnosis and treatment may be improved by tools such as machine learning, mobile applications and sensors, wearables, and telehealth. The recent pandemic has accelerated the move towards this future, however, important concerns remain. These include ensuring that new technologies are assessed effectively and are introduced thoughtfully, data are unified into care records, and, ultimately, digital tools are underpinned with appropriate clinical support. Patients must benefit without worsening workload for the clinician. Old barriers may be overcome but new challenges will be faced, in particular, ensuring the promise of better care for those who lack access to smart phones and the internet will be crucial. Clinicians must continue to advocate for patients and their colleagues as we embrace the future of digital healthcare.","C. Butcher, W. Hussain",2022.0,Future healthcare journal,Medicine,Healthcare
Communication Requirements in 5G-Enabled Healthcare Applications: Review and Considerations,"Fifth generation (5G) mobile communication technology can enable novel healthcare applications and augment existing ones. However, 5G-enabled healthcare applications demand diverse technical requirements for radio communication. Knowledge of these requirements is important for developers, network providers, and regulatory authorities in the healthcare sector to facilitate safe and effective healthcare. In this paper, we review, identify, describe, and compare the requirements for communication key performance indicators in relevant healthcare use cases, including remote robotic-assisted surgery, connected ambulance, wearable and implantable devices, and service robotics for assisted living, with a focus on quantitative requirements. We also compare 5G-healthcare requirements with the current state of 5G capabilities. Finally, we identify gaps in the existing literature and highlight considerations for this space.","H. Qureshi, Marvin Manalastas, Aneeqa Ijaz, A. Imran, Yongkang Liu, Mohamad Omar Al Kalaa",2022.0,Healthcare,Medicine,Healthcare
The Future of Healthcare Internet of Things: A Survey of Emerging Technologies,"The impact of the Internet of Things (IoT) on the advancement of the healthcare industry is immense. The ushering of the Medicine 4.0 has resulted in an increased effort to develop platforms, both at the hardware level as well as the underlying software level. This vision has led to the development of Healthcare IoT (H-IoT) systems. The basic enabling technologies include the communication systems between the sensing nodes and the processors; and the processing algorithms for generating an output from the data collected by the sensors. However, at present, these enabling technologies are also supported by several new technologies. The use of Artificial Intelligence (AI) has transformed the H-IoT systems at almost every level. The fog/edge paradigm is bringing the computing power close to the deployed network and hence mitigating many challenges in the process. While the big data allows handling an enormous amount of data. Additionally, the Software Defined Networks (SDNs) bring flexibility to the system while the blockchains are finding the most novel use cases in H-IoT systems. The Internet of Nano Things (IoNT) and Tactile Internet (TI) are driving the innovation in the H-IoT applications. This paper delves into the ways these technologies are transforming the H-IoT systems and also identifies the future course for improving the Quality of Service (QoS) using these new technologies.","Yazdan Ahmad Qadri, Alissa Nauman, Y. B. Zikria, A. Vasilakos, S. Kim",2020.0,IEEE Communications Surveys and Tutorials,Computer Science,Healthcare
"Big data in healthcare: management, analysis and future prospects",,"Sabyasachi Dash, S. Shakyawar, Mohit Sharma, S. Kaushik",2019.0,Journal of Big Data,Computer Science,Healthcare
